title_id,title,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
821408,연애일기,2658.8,9.92,2214.0,287.6,328.24
755744,왕년엔 용사님,14450.4,9.93,16428.2,1254.0,5076.76
807600,악취해결사,3826.0,9.95,2850.2,211.2,725.45
640168,아직도 못 맞춰 보았나! 블쓰헤드샷!,2671.0,9.94,8762.6,1607.4,1960.72
818810,반려짐승,3308.0,9.94,3301.6,156.6,845.48
801999,즐거우리 우리네 인생,1133.8,9.93,1884.8,99.6,192.58
743031,사장님을 잠금해제,12408.4,9.94,10304.8,1147.2,4342.75
183558,"스마일 브러시, 오래된 사진.",387.8,9.93,5165.8,1497.8,180.35
709732,하르모니아,14244.6,9.88,22227.0,1787.6,5666.67
26310,3단합체김창남,2823.0,9.94,18009.4,4619.0,1365.08
675559,부부생활,20741.2,9.9,18050.6,3110.8,4221.57
712362,개를 낳았다,45449.2,9.96,51486.0,4576.4,12859.67
654316,우렁집사,8841.2,9.93,21571.6,1566.0,4948.12
622641,붉은 실,14737.0,9.95,44822.75,8504.5,14178.38
797253,메리의 불타는 행복회로,4872.0,9.91,3599.8,236.6,1865.43
812414,포 더 퀸덤,,,,,0.0
602930,너와 너 사이,2281.0,9.91,30381.0,4195.2,6249.07
801015,짝사랑은 동고동락,500.4,9.95,357.4,52.2,136.23
507276,그녀는 흡!혈귀,2158.8,9.92,29278.4,3827.4,656.8
683496,신도림,24837.4,9.92,30218.2,3851.4,6150.23
703121,운수 좋은 짤,8361.0,9.94,11487.8,1033.4,3935.99
783863,이게 아닌데,8974.6,9.87,5867.2,477.0,3087.88
606911,별을 부탁해,1983.6,9.94,19549.6,1791.0,3020.86
776542,네가 죽기를 바랄 때가 있었다,14167.6,9.9,10672.0,897.4,4397.85
801516,아이돌만 하고 싶었는데,3765.8,9.93,2713.0,156.8,1790.1
791062,매지컬 급식:암살법사,3683.8,9.91,3517.2,334.4,936.33
828400,우리들의 사정,7334.8,9.92,6734.8,463.0,2561.09
787669,뉴심:교체인생,2933.0,9.91,2377.8,98.2,718.18
751993,보물과 괴물의 도시,6955.4,9.94,7543.2,406.6,1520.83
626949,바로잡는 순애보,10462.0,9.96,34686.2,4848.2,7479.05
814288,종말권유,2173.4,9.89,1938.8,188.8,512.07
703635,오직 나의 주인님,20841.8,9.94,36983.2,2042.8,9734.15
798293,굿바이 유교보이,3097.4,9.91,3057.6,104.8,672.43
804157,첫날밤만 세 번째,4429.4,9.96,4137.8,132.0,818.41
784580,묘령의 황자,17409.0,9.92,17546.0,2579.0,4253.73
663681,가우스 임파서블,2106.8,9.94,5794.4,1354.0,1246.48
459546,삼봉이발소,2818.6,9.93,30543.8,5391.0,839.25
755559,태백 : 튜토리얼 맨,9542.8,9.93,9264.2,653.4,1749.99
532057,투엔티스,2099.4,9.95,45457.0,9912.0,1341.0
800778,칼끝에 입술,14169.0,9.94,11791.2,579.2,3060.16
771719,호수의 인어,6432.25,9.93,5770.75,311.0,2977.03
55150,남기한엘리트만들기,4234.6,9.94,21811.0,6372.4,2134.32
55143,일상날개짓,3374.4,9.92,38091.8,5765.2,944.45
808994,흑화한 노예남을 길들였다,12115.0,9.92,11478.2,439.4,2541.7
794644,사랑하는 여배우들,2057.4,9.92,1807.0,116.8,1202.47
684435,구구까까,52852.4,9.76,67538.4,8573.6,24847.99
622639,헬로 미스터 테디,8136.4,9.95,33884.8,4713.2,7311.61
471286,키드갱 시즌2,1098.0,9.8,14090.5,4756.0,322.0
753304,아침을 지나 밤으로,14302.0,9.94,12659.0,1292.8,6091.13
771065,중매쟁이 아가 황녀님,10583.8,9.8,9775.8,636.0,2809.04
674209,스퍼맨 시즌1,,,,,0.0
820460,박제하는 시간,2075.75,9.94,2267.75,142.75,700.8
528785,차차차,2302.8,9.84,28026.8,5141.2,690.63
557673,수업시간그녀,2334.0,9.89,36194.75,3930.75,2713.68
747637,더 트웰브,6317.6,9.88,6960.4,683.2,1794.68
826440,낫오버,2780.2,9.95,2745.6,301.4,278.27
835500,아버지의 복수는 끝이 없어라,1395.8,9.96,1659.8,71.8,243.66
150389,스마일브러시,521.8,9.93,5259.4,1765.2,225.11
730148,피와 살,,,,,0.0
629131,곽백수의 신 트라우馬,2456.2,9.94,8226.4,982.6,1608.73
112931,아스란영웅전,2663.2,9.92,9858.0,2076.6,903.35
807826,내게 종말은 게임이다,5304.4,9.91,4672.2,244.6,1217.05
