title_id,episode,like_count,star,star_participants,comment_count,best_comment_likes
786882,1,3392.0,9.21,3480.0,463.0,"[4155, 2377, 2182, 1064, 940, 922, 707, 460, 437, 309, 262, 216, 179, 106, 88]"
786882,2,2752.0,9.3,3534.0,446.0,"[2595, 1612, 1257, 1075, 517, 425, 288, 267, 231, 133, 130, 76, 29, 7]"
786882,3,2184.0,9.65,1739.0,192.0,"[2591, 1823, 1150, 669, 300, 217, 153, 106, 80, 44, 36, 25]"
786882,4,2023.0,9.65,1598.0,177.0,"[2499, 1591, 1091, 881, 552, 324, 139, 81, 53]"
786882,5,1871.0,9.71,1508.0,203.0,"[2825, 1468, 1117, 691, 430, 230, 180]"
792950,1,383.0,9.38,504.0,63.0,"[127, 63, 52, 34, 33]"
792950,2,338.0,9.55,573.0,40.0,"[57, 42, 33]"
792950,3,301.0,9.58,512.0,44.0,"[138, 84, 38, 35]"
792950,4,280.0,9.6,482.0,39.0,"[59, 41, 25, 18]"
792950,5,265.0,9.59,363.0,28.0,"[80, 32, 10]"
769685,1,197.0,8.44,524.0,42.0,"[197, 77, 76, 60, 43, 24, 9]"
769685,2,158.0,8.99,268.0,17.0,"[119, 99, 69, 46, 26, 13, 10]"
769685,3,152.0,9.13,231.0,12.0,"[182, 109, 53, 39, 36, 22, 19]"
769685,4,135.0,9.11,223.0,11.0,"[58, 31]"
769685,5,128.0,9.19,227.0,11.0,"[53, 44, 39, 23, 8]"
609477,1,13148.0,9.65,96646.0,38273.0,"[120223, 79731, 60218, 59572, 47027, 42728, 38531, 31373, 30878, 30152, 14321, 13634, 10979, 8815, 7870]"
609477,2,11615.0,9.6,84501.0,18181.0,"[92433, 58033, 49387, 36827, 35231, 26896, 22637, 20302, 20182, 17876, 8781, 5786, 5283, 4662, 4590]"
609477,3,11288.0,9.53,76535.0,18599.0,"[61671, 45661, 35804, 34435, 26237, 24976, 24406, 21948, 19785, 15969, 4279, 3558, 3517, 3164, 2690]"
609477,4,12863.0,9.67,75378.0,21752.0,"[79074, 57497, 46203, 41883, 34695, 24508, 17246, 16328, 10149, 2538, 2419, 1918, 1579, 88, 38]"
609477,5,10854.0,9.57,74286.0,24525.0,"[83546, 64158, 46591, 42909, 39033, 32657, 29095, 28963, 6364, 3827, 3271, 2393, 1874, 313, 132]"
387491,1,0.0,9.56,1526.0,602.0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
387491,2,0.0,9.47,825.0,283.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
387491,3,0.0,9.26,601.0,210.0,"[1, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
387491,4,2.0,9.46,559.0,174.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
387491,5,2.0,9.57,444.0,206.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
773645,1,222.0,8.88,389.0,35.0,"[117, 58, 56, 33, 12]"
773645,2,145.0,9.42,424.0,22.0,"[65, 17]"
773645,3,121.0,9.43,258.0,16.0,"[27, 26]"
773645,4,108.0,9.33,215.0,14.0,"[48, 11, 7, 5]"
773645,5,101.0,9.18,197.0,17.0,"[87, 58, 39, 16]"
794224,1,1711.0,9.33,2250.0,229.0,"[1420, 613, 407, 338, 303, 27, 17, 8, 7, 6]"
794224,2,1364.0,9.52,1906.0,114.0,"[988, 511, 435, 218, 84, 28, 19, 7, 6, 6, 6, 5, 5, 5]"
794224,3,1224.0,9.42,1321.0,139.0,"[1565, 940, 305, 244, 143, 71, 27, 17, 11]"
794224,4,1123.0,9.67,1142.0,62.0,"[347, 190, 175, 19, 11]"
794224,5,957.0,8.81,1085.0,91.0,"[853, 355, 277, 241, 95, 72, 54, 25]"
675556,1,30901.0,9.68,24623.0,11668.0,"[31927, 26702, 19426, 18025, 13407, 11353, 9047, 8762, 8612, 8444, 7498, 7154, 6943, 6267, 6218]"
675556,2,33936.0,9.82,22554.0,21575.0,"[33693, 27200, 25732, 24203, 22243, 19001, 17029, 16229, 14094, 11071, 10805, 10596, 10490, 10321, 9775]"
675556,3,22425.0,9.83,17023.0,11010.0,"[27560, 19871, 19839, 18267, 17341, 16033, 13028, 12908, 10234, 10076, 9143, 8339, 7365, 6910, 6802]"
675556,4,25265.0,9.08,19840.0,12458.0,"[26790, 18858, 17866, 14599, 12037, 11230, 11091, 9971, 8355, 7732, 7681, 7654, 7376, 6525, 6048]"
675556,5,17810.0,7.49,21948.0,12536.0,"[51348, 26533, 21932, 12713, 10784, 10731, 10450, 10055, 9699, 8035, 7031, 6821, 6418, 6335, 6188]"
815272,1,389.0,9.14,638.0,79.0,"[354, 167, 68, 66, 58, 32, 26, 24, 14, 13, 13]"
815272,2,192.0,9.61,257.0,21.0,"[151, 56, 20, 17, 16, 16, 15]"
815272,3,159.0,9.74,215.0,32.0,"[85, 41, 34, 30, 16]"
815272,4,131.0,9.7,215.0,17.0,"[70, 54, 42, 36, 24]"
815272,5,107.0,9.64,152.0,14.0,"[52, 27, 18, 14, 7]"
802037,1,98.0,8.76,83.0,73.0,"[23, 20, 17]"
802037,2,74.0,9.03,58.0,77.0,"[9, 6]"
802037,3,62.0,9.1,50.0,60.0,[5]
802037,4,61.0,9.2,56.0,51.0,[8]
802037,5,57.0,9.32,53.0,41.0,"[9, 5]"
710766,1,9866.0,9.67,30080.0,2218.0,"[8441, 5835, 4791, 4476, 4083, 2519, 1835, 1588, 1286, 1253, 1079, 839, 795, 680, 83]"
710766,2,6197.0,9.57,9736.0,733.0,"[5475, 3708, 2797, 1238, 684, 656, 489, 421, 371, 356, 297, 234, 210, 9, 9]"
710766,3,5096.0,9.7,7772.0,468.0,"[3702, 1974, 1537, 1332, 523, 516, 331, 309, 243, 229, 145, 138, 136, 109, 27]"
710766,4,,,,,[]
710766,5,,,,,[]
832679,1,1428.0,9.32,2248.0,213.0,"[2233, 1266, 1140, 847, 606, 326, 214, 108, 82, 61, 51, 43, 41, 9, 7]"
832679,2,853.0,9.42,1999.0,62.0,"[453, 249, 129, 95, 76, 49, 47, 33]"
832679,3,653.0,9.54,1080.0,63.0,"[502, 383, 254, 138, 92, 74, 41, 27]"
832679,4,468.0,9.38,813.0,61.0,"[272, 145, 125, 51, 16]"
832679,5,,,,,[]
759940,1,21183.0,9.65,18963.0,3350.0,"[17160, 16886, 12066, 8739, 6737, 5522, 4378, 3012, 2760, 1940, 1432, 1230, 1221, 1059, 160]"
759940,2,17205.0,9.68,16582.0,2203.0,"[15464, 13625, 9878, 9141, 4501, 3120, 2528, 2445, 1388, 1018, 643, 437, 258]"
759940,3,16364.0,6.66,25974.0,4518.0,"[26814, 16602, 15034, 8670, 7550, 6513, 4546, 3597, 3322, 2994, 2071, 1440, 1132, 1023, 85]"
759940,4,16063.0,8.5,19270.0,4283.0,"[19519, 15503, 12962, 11098, 9773, 8733, 5984, 4681, 4040, 2890, 2689, 2147, 1075, 1064, 7]"
759940,5,12846.0,8.14,14933.0,2084.0,"[13431, 12163, 10100, 6129, 5357, 2310, 1823, 1633, 1037, 835, 750, 633, 432, 11]"
22027,1,3931.0,9.48,6335.0,2262.0,"[3979, 2370, 1795, 1196, 771, 719, 504, 369, 269, 251, 235, 211, 187, 85, 62]"
22027,2,2638.0,9.59,4646.0,750.0,"[1428, 561, 498, 381, 256, 214, 178, 105, 87, 82, 81, 46, 44, 35, 32]"
22027,3,2230.0,9.61,4133.0,743.0,"[838, 720, 597, 365, 360, 294, 258, 239, 217, 206, 193, 108, 73, 60, 31]"
22027,4,2007.0,9.63,3805.0,570.0,"[1073, 691, 495, 459, 402, 340, 271, 126, 110, 97, 84, 77, 70, 52, 32]"
22027,5,1885.0,9.66,3727.0,747.0,"[1260, 794, 651, 428, 413, 313, 292, 288, 244, 224, 162, 88, 72, 40, 34]"
784827,1,1567.0,9.7,1239.0,176.0,"[1175, 1044, 389, 370, 335, 35, 14, 11]"
784827,2,1157.0,9.82,943.0,114.0,"[1260, 301, 253, 205, 114]"
784827,3,1110.0,9.77,900.0,60.0,"[544, 281, 237, 156, 139, 42]"
784827,4,1011.0,9.86,753.0,74.0,"[734, 339, 61]"
784827,5,743.0,9.87,615.0,57.0,"[562, 312, 202, 11, 5, 5]"
780266,1,5355.0,7.09,6066.0,971.0,"[12255, 7034, 5629, 5450, 4994, 3505, 2285, 2063, 1667, 1427, 1055, 701, 671, 653, 522]"
780266,2,3691.0,8.01,3621.0,498.0,"[7773, 5081, 4797, 1595, 1257, 866, 808, 542, 503, 397, 391, 345, 341, 160, 63]"
780266,3,2843.0,8.58,2780.0,274.0,"[3965, 2792, 2518, 1341, 954, 625, 482, 448, 360, 334, 326, 297, 273, 265, 133]"
780266,4,2429.0,9.09,2377.0,123.0,"[2092, 1395, 1069, 423, 348, 251, 242, 175, 173, 154, 124, 95, 86, 84, 74]"
780266,5,2292.0,9.16,2214.0,158.0,"[1698, 1553, 846, 763, 613, 511, 257, 227, 156, 117, 92, 85, 68, 45, 5]"
791058,1,2206.0,9.83,2578.0,272.0,"[1112, 625, 428, 394, 240, 138, 97]"
791058,2,1629.0,9.88,1934.0,138.0,"[718, 458, 364, 236, 148, 134, 127, 111, 110, 72, 69, 60, 47, 42, 34]"
791058,3,1317.0,9.87,1628.0,116.0,"[565, 285, 211, 95]"
791058,4,1130.0,9.86,1445.0,122.0,"[755, 230, 161, 84, 50, 25, 20, 17]"
791058,5,1027.0,9.85,1285.0,84.0,"[473, 445, 199, 171, 98, 61]"
557676,1,20372.0,9.32,109291.0,37373.0,"[44988, 40857, 23066, 19876, 12491, 10922, 6890, 6406, 6149, 2338, 1709, 1357, 1330, 1165, 200]"
557676,2,16089.0,9.58,109342.0,17496.0,"[36272, 34301, 22986, 16093, 12208, 10892, 9871, 6816, 6381, 4475, 3293, 2629, 2278, 2042, 95]"
557676,3,12863.0,9.64,69431.0,9749.0,"[42541, 35473, 22436, 11449, 11257, 10118, 9474, 8046, 7207, 4691, 2266, 1953, 1369, 1081, 942]"
557676,4,12567.0,9.67,73442.0,8880.0,"[30160, 21925, 16781, 13612, 11145, 7202, 6853, 4603, 3411, 2983, 1003, 881, 830, 799, 721]"
557676,5,13108.0,9.71,85249.0,10039.0,"[35034, 28968, 21385, 19612, 13992, 11468, 10819, 9722, 7869, 6419, 2360, 2036, 1803, 1367, 1186]"
787729,1,7324.0,7.49,16058.0,1720.0,"[9664, 6902, 6223, 3487, 3479, 2204, 2107, 1908, 1679, 1600, 1433, 1120, 904, 490, 419]"
787729,2,5220.0,8.25,10337.0,662.0,"[4463, 4137, 2515, 2328, 1147, 745, 649, 522, 135, 83, 74, 69, 64, 59, 58]"
787729,3,4704.0,8.8,8216.0,483.0,"[5074, 4277, 3885, 2100, 1018, 859, 843, 769, 615, 350, 311]"
787729,4,4230.0,8.89,6488.0,265.0,"[6196, 5267, 3692, 3016, 1652, 1431, 1079, 613, 472, 464, 420, 281, 254, 180, 151]"
787729,5,3807.0,9.0,5847.0,254.0,"[6178, 3685, 1761, 1372, 1200, 962, 477]"
753858,1,18478.0,9.17,16714.0,2713.0,"[16738, 10341, 7805, 7281, 4946, 2979, 2773, 2412, 1971, 1663, 1499, 1473, 1207, 548, 160]"
753858,2,17822.0,9.43,16254.0,2820.0,"[16719, 12296, 12194, 7158, 5240, 4468, 3524, 2910, 2601, 1621, 465, 273, 140, 124, 93]"
753858,3,14496.0,9.74,10972.0,861.0,"[14618, 8652, 5228, 4413, 2557, 2169, 2131, 1910, 1491, 1343, 1124, 1014, 931, 187, 68]"
753858,4,13562.0,9.76,9326.0,998.0,"[18238, 10463, 7800, 7044, 5137, 3509, 3168, 2904, 1985, 1493, 1227, 168, 89, 50]"
753858,5,13289.0,9.8,8834.0,570.0,"[11668, 9393, 7445, 5717, 2517, 2139, 1872, 1138, 1039, 1014, 74, 55, 50, 45, 41]"
817583,1,588.0,9.01,590.0,89.0,"[269, 69, 28, 14]"
817583,2,475.0,9.65,526.0,22.0,[44]
817583,3,421.0,9.59,460.0,24.0,[147]
817583,4,409.0,9.77,422.0,34.0,"[62, 36]"
817583,5,342.0,9.82,369.0,32.0,"[127, 51, 21]"
720716,1,24587.0,7.86,23450.0,4613.0,"[39386, 33637, 27762, 27220, 22575, 16941, 11853, 8215, 7300, 6775, 6373, 5350, 3080, 57, 54]"
720716,2,15286.0,9.46,12832.0,737.0,"[19047, 16237, 11113, 8660, 6955, 4186, 3451, 2977, 2394, 2049, 1468, 1297, 1222, 878, 9]"
720716,3,13122.0,9.53,9310.0,858.0,"[11886, 10144, 9535, 7621, 3424, 2868, 2398, 2335, 2168, 1713, 1481, 1386, 1075, 843, 775]"
720716,4,11757.0,9.63,9955.0,485.0,"[9610, 7819, 7199, 4550, 3653, 3164, 2556, 2452, 1674, 1384, 1380, 1166, 900, 702, 484]"
720716,5,10829.0,9.71,7111.0,611.0,"[12542, 12440, 7983, 6314, 3020, 2511, 1985, 1438, 822, 787, 677, 452, 423, 304, 6]"
794671,1,1817.0,9.55,2113.0,256.0,"[2158, 1782, 1271, 718, 384, 375, 143, 96, 57, 54, 41, 27]"
794671,2,1305.0,9.73,1449.0,85.0,"[1222, 485, 468, 280, 239, 90]"
794671,3,1155.0,9.78,1271.0,60.0,"[822, 779, 434, 422, 200, 150, 77, 53, 43]"
794671,4,1020.0,9.79,1178.0,73.0,"[733, 726, 405, 303, 70]"
794671,5,775.0,9.75,864.0,41.0,"[637, 458, 249, 137]"
69113,1,225.0,9.39,3813.0,4243.0,"[630, 53, 40, 26, 16, 13, 12]"
69113,2,98.0,9.18,2343.0,1719.0,[425]
69113,3,129.0,9.43,2908.0,3335.0,[442]
69113,4,114.0,9.46,2340.0,1533.0,"[104, 31, 27]"
69113,5,111.0,9.59,3284.0,3239.0,"[656, 256, 188, 139, 110, 24, 22]"
471284,1,3855.0,9.71,27944.0,7763.0,"[6776, 5652, 4312, 3478, 2320, 2121, 1112, 794, 703, 683, 574, 481, 314, 262, 54]"
471284,2,3061.0,9.81,23927.0,5461.0,"[7642, 4392, 2640, 2022, 1828, 1354, 1065, 891, 638, 559, 363, 289, 272, 232, 204]"
471284,3,2947.0,9.82,24887.0,4333.0,"[7716, 4051, 3265, 1871, 1329, 776, 645, 515, 479, 449, 281, 261, 255, 201, 196]"
471284,4,,,,,[]
471284,5,,,,,[]
783054,1,17327.0,7.01,34655.0,4169.0,"[19000, 13004, 12884, 6863, 6715, 5893, 4987, 3334, 2973, 2952, 2114, 1986, 1379, 963, 378]"
783054,2,13184.0,8.1,22150.0,1432.0,"[15525, 9596, 8457, 6044, 4028, 2869, 2437, 2338, 1924, 1610, 1420, 983]"
783054,3,12866.0,8.27,21744.0,1856.0,"[12935, 9657, 8481, 6165, 4046, 3318, 2968, 1953, 1372, 1027, 945, 781, 696, 562]"
783054,4,11748.0,8.27,19034.0,1304.0,"[14169, 6808, 5949, 3853, 2681, 1301, 1037, 653]"
783054,5,11195.0,8.61,16843.0,1047.0,"[13871, 9323, 4977, 3916, 2159, 1404, 945, 749, 513, 451]"
131796,1,7.0,9.29,2460.0,3625.0,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 4, 1, 1, 0]"
131796,2,5.0,8.51,1458.0,2650.0,"[1, 1, 0, 4, 1, 2, 3, 1, 2, 18, 1, 2, 27, 9, 8]"
131796,3,4.0,9.42,1013.0,1591.0,"[0, 1, 1, 1, 1, 1, 3, 7, 1, 1, 1, 11, 1, 0, 3]"
131796,4,4.0,9.75,1213.0,2217.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0]"
131796,5,3.0,9.15,840.0,1004.0,"[0, 0, 1, 1, 2, 1, 2, 15, 1, 1, 2, 6, 1, 2, 2]"
784825,1,2416.0,9.45,1438.0,173.0,"[717, 696, 425, 304, 244, 177, 117, 86, 72, 53, 47, 43, 6]"
784825,2,2017.0,9.6,1194.0,128.0,"[2283, 1338, 974, 539, 296, 195, 82, 62, 41]"
784825,3,1895.0,9.68,1153.0,88.0,"[1849, 1409, 1220, 663, 341, 25, 10]"
784825,4,1807.0,9.7,1128.0,70.0,"[1353, 1117, 336, 62]"
784825,5,1735.0,9.55,1079.0,120.0,"[1329, 984, 729, 498, 309, 287, 279, 156, 150, 124, 116, 107, 104, 66, 5]"
800360,1,572.0,9.75,746.0,77.0,"[224, 166, 119, 95, 31, 28, 22, 11]"
800360,2,494.0,9.69,594.0,31.0,"[285, 80, 42]"
800360,3,451.0,9.57,516.0,42.0,"[190, 99, 92, 78, 48, 44, 30]"
800360,4,401.0,8.29,596.0,82.0,"[504, 227, 195, 148, 83, 75, 61, 44, 38, 34, 31, 30]"
800360,5,364.0,9.16,458.0,37.0,"[203, 140, 104, 79, 49, 11]"
822577,1,4961.0,9.75,3439.0,743.0,"[4006, 3073, 1587, 886, 698, 604, 370, 250, 176, 174, 139, 134, 103, 91, 88]"
