title_id,title,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
741894,꼬리 있는 연애,8494.2,9.92,7078.4,681.8,4478.44
670131,천국의 신화 6부,4193.6,9.87,6381.2,788.4,776.17
761463,개밥 먹는 남자,5796.8,9.91,5605.2,513.4,2026.49
817999,"그 악녀, 남자입니다",541.6,9.88,505.4,32.6,146.91
758672,피로만땅,3234.4,9.91,4417.2,390.6,1266.05
733277,도사 가온,3400.6,9.88,4253.4,378.2,735.84
748069,선의의 경쟁,24543.8,9.92,17084.2,2164.4,12789.72
666671,컨트롤제트,18500.6,9.93,35602.2,5627.6,9074.84
798333,간택주의보,1252.4,9.92,1184.4,62.6,114.0
268859,지원,638.2,9.93,5047.8,1715.8,206.34
254143,스토커,2113.8,9.94,12084.6,4895.2,733.67
651673,유미의 세포들,71268.6,9.96,42321.0,6454.0,10824.56
641580,일사부재리,3841.4,9.95,9434.0,1671.8,2496.0
492659,사랑일까?,431.8,9.87,17512.8,3324.4,161.98
694807,마왕이 되는 중2야,27454.0,9.93,36529.6,4697.8,11527.51
795542,칼에 취한 밤을 걷다,8658.0,9.86,9770.4,625.2,737.25
721458,파리의 우리동네,4014.8,9.86,6621.2,301.0,1395.62
605137,제비원 이야기,1610.8,9.94,31525.0,4380.8,6905.17
570504,열무가 익어간다,744.4,9.92,20645.8,3120.4,3346.25
666537,3P,6680.0,9.97,14491.6,1478.6,3603.63
774865,사실 마법이었던 거임,11932.0,9.89,9708.6,1357.0,4115.94
756789,손 잡아 볼래?,5385.2,9.89,4983.2,249.8,1984.83
792694,폰투스 : 극야2,5595.8,9.95,6518.6,429.8,842.74
818781,배니싱 트윈,,,,,0.0
807537,서울밤피어,4016.4,9.93,5309.0,300.4,899.91
466537,만나는 보았나! 100%리얼맨!,155.4,9.92,3970.4,1061.2,119.49
799478,서울시 천사주의,2370.6,9.93,2056.0,129.8,739.36
801106,전생했더니 신입사원,1902.0,9.9,2171.0,124.2,301.75
837818,윈터 게임,755.0,9.95,751.6,66.0,165.13
803934,나랑X할래?,11675.8,9.85,9793.8,550.8,4367.93
719507,냥하무인,16331.4,9.89,25631.0,1193.6,4597.61
751989,몰랐지만 괜찮아,13771.8,9.95,16653.0,1387.8,3032.08
26086,심장이뛰다,308.4,9.93,3657.4,1673.8,126.52
758676,조선여우스캔들,8004.0,9.87,7034.2,430.0,2715.8
783518,그 남주와 이별하는 방법,4614.6,9.89,3572.6,210.8,1287.86
743270,집사레인저,11708.8,9.9,11367.0,2180.2,5822.6
528781,기적! 우리에게 일어난 일들,381.6,9.89,25713.6,6483.2,318.72
551649,낮에 뜨는 달,31710.4,9.95,73752.4,7340.8,8710.28
727836,첫사랑입니다만,20007.4,9.92,19384.8,625.6,5235.48
703631,방백남녀,12692.8,9.62,19491.8,2101.2,8213.39
804868,팀장님은 신혼이 피곤하다,7038.4,9.91,5506.6,374.4,1705.16
756063,헌팅,536.0,9.89,744.2,66.8,147.35
758664,사람은 고쳐 쓰는 게 아니야!,15474.4,9.84,12249.2,749.4,4445.56
806505,수플레 팬 케이크,2633.8,9.9,2289.0,181.4,345.3
768473,천치전능,5846.6,9.9,6841.8,480.8,1448.71
729963,가슴털 로망스,11574.8,9.85,16356.4,1984.6,6634.69
811634,또다시 열일곱,1990.6,9.91,1714.4,92.6,858.0
715159,갓핑크,20513.6,9.94,23874.8,2501.6,9028.85
802819,궤도의 아이들,3107.2,9.9,2880.0,182.8,959.7
785812,"구해줘, 호구!",4124.6,9.92,3372.6,237.6,1014.58
724817,귀인,8613.6,9.9,13154.6,906.6,2553.32
546622,레인보우 로즈,278.4,9.9,18017.2,2560.0,176.8
812143,집착 흑막들의 시터가 되어버렸다,1804.8,9.9,1559.0,64.6,223.34
802033,"집사, 주세요!",5930.4,9.86,4006.6,528.2,2800.87
731939,나의 우주,16622.4,9.94,21185.8,953.8,8721.63
765471,환상의 용,4236.25,9.9,7070.5,415.5,1664.68
784844,어둠이 밀려오면,1558.8,9.9,1201.4,82.4,450.27
783106,수호하는 너에게,3444.4,9.9,2806.0,278.2,919.1
793005,유미의 작가 수칙,9388.0,9.93,8858.4,564.8,3468.97
797932,청춘일지,6919.2,9.92,5094.0,214.2,1856.32
799220,여름의 너에게,7013.0,9.94,5058.4,249.4,1451.88
783552,리트리츠,2159.2,9.93,2591.6,202.6,427.49
809706,사랑받는 시집살이,12909.4,9.89,10898.2,409.0,2532.17
765821,사람의 조각,8686.0,9.92,8926.6,580.6,2865.69
745474,서브 콤플렉스,22283.0,9.94,15218.4,1994.6,8735.08
686312,열정호구,16890.8,9.94,26789.2,2685.6,8663.76
686669,첩보의 별 시즌2,9298.0,9.88,5675.6,5182.8,4608.76
753307,우리는 요정!,6181.33,9.89,9171.67,826.0,2211.45
821855,뜻밖의 청혼,2176.6,9.9,2037.6,100.8,289.5
666670,모태솔로수용소 시즌2~3,12472.0,9.91,22729.8,5157.6,8542.19
761592,친구의 비밀계정,5772.2,9.9,4488.4,393.8,3150.75
697533,미시령,28017.4,9.96,41563.2,3995.6,12450.03
700327,2017 멋진 신세계,12059.6,9.9,21362.2,2562.4,9295.0
720116,데우스 엑스 마키나,11320.25,9.85,17831.25,1682.0,6854.0
318992,우연일까?,770.4,9.9,8632.8,1526.2,159.65
789029,한입만!,4491.8,9.87,4167.8,456.2,1777.86
310616,원티드,5528.6,9.93,20537.8,3819.8,1638.03
500944,무한동력,1648.6,9.92,31868.6,7238.6,577.2
793283,악몽의 형상,12673.2,9.91,7182.0,1388.8,3466.29
284940,요리대마왕,619.8,9.85,6272.4,2302.0,239.69
670152,열렙전사,20730.6,9.85,24317.8,4436.4,5284.52
25695,향수,465.2,9.92,4883.8,1401.8,142.98
787731,우주 최강의 첫사랑,2693.0,9.93,1725.4,159.2,921.39
15441,골방환상곡,1527.4,9.91,4083.6,3883.2,892.14
761601,열녀박씨 계약결혼뎐,10015.8,9.89,8057.0,555.0,5015.85
788170,나만의 고막남친,4878.2,9.86,3449.2,219.8,1634.76
761709,오늘부터 천생연분,8105.2,9.85,7384.8,428.4,2278.45
94761,소설가J,1072.6,9.92,6282.8,2018.0,498.68
729038,머리카락을 뽑으면,15958.2,9.88,12934.2,1111.6,6075.6
802070,시선 끝 브로콜리,3126.4,9.94,3431.0,128.0,854.49
22896,핑크레이디,2972.8,9.93,15902.0,5355.0,1143.08
802882,빛나는 손을,304.6,9.86,311.6,71.4,52.55
517252,스페이스 킹,811.0,9.81,7116.4,1773.8,403.16
774863,팔이피플,21859.8,9.88,22462.8,1103.2,8325.71
776306,위치헌트 (Witch Hunt),,,,,0.0
713334,이름을 불러주세요,10339.4,9.92,16514.0,1192.0,2894.84
800312,이십팔세기 광팬,8407.8,9.93,5312.0,1242.0,2798.33
254132,옆집화랑,932.8,9.89,6837.4,1726.8,227.99
806449,당신이 나를 믿으신다면,2406.2,9.92,2543.2,171.4,1093.67
557674,미선 임파서블,1528.8,9.9,33596.4,7724.8,3498.97
