title_id,title,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
804145,에브리띵 이즈 파인,11282.2,9.96,10601.6,422.2,4580.96
733080,그놈은 흑염룡,13393.6,9.96,15911.6,1285.6,7502.77
784835,관찰일기,4189.8,9.93,3147.6,126.2,821.07
695585,뱀이 앉은 자리,23999.4,9.96,38338.2,2804.0,12857.51
697254,푸른사막 아아루,13234.2,9.93,19158.0,1583.6,4638.29
675331,하이브 3,28134.0,9.96,45351.0,9577.2,16937.2
703308,신석기녀,36381.2,9.93,37490.2,3866.8,15112.6
774832,같은 학교 친구,24095.6,9.97,19514.8,1065.2,5478.64
817177,괴물 의상실,3409.6,9.95,3162.8,144.8,533.1
796251,홍 의관의 은밀한 비밀,3848.2,9.95,4507.0,212.8,666.02
794155,버려진 나의 최애를 위하여,21602.8,9.94,17060.0,663.6,7405.0
651675,우바우,15650.2,9.95,20676.4,2464.8,4818.88
719899,살인자o난감,12177.4,9.94,18440.8,1158.0,4860.49
715772,좀비딸,44739.2,9.96,48946.6,3844.2,18621.76
794152,호걸옹주,1305.6,9.94,2132.8,101.0,255.64
701081,스위트홈,51042.2,9.96,59240.2,5963.8,21321.63
744320,와이키키 뱀파이어,15138.4,9.96,11410.8,640.8,4058.39
730204,친애하는 X,29138.2,9.97,29645.4,902.4,9430.05
748105,독립일기,85010.75,9.96,45554.8,7844.8,25839.49
784506,환상연가,6324.6,9.97,6463.6,227.0,1667.15
738174,중증외상센터 : 골든 아워,37245.0,9.94,32363.6,2150.8,12492.56
690594,우리집에 곰이 이사왔다,18757.6,9.94,27807.2,3229.4,7521.72
801038,성스러운 그대 이르시길,5519.0,9.96,5145.4,170.2,1179.43
709992,옆반의 인어,18246.6,9.85,20757.2,2428.8,9530.52
771933,굿 리스너,4390.6,9.96,6248.0,400.2,1254.99
622643,진눈깨비 소년,6323.0,9.93,17667.2,1952.2,3191.93
748535,마른 가지에 바람처럼,30950.2,9.95,34054.0,1338.6,9559.36
773793,필리아로제 - 가시왕관의 예언,7088.6,9.94,5929.4,501.6,1667.59
675516,참치와 돌고래,14585.2,9.95,25962.0,1718.6,6405.69
786883,또 다른 사랑,5179.6,9.94,4504.8,196.6,1891.31
686879,"꿈꾸는 소녀, 소년",20490.2,9.97,31342.0,1810.6,7372.25
795292,보나파르트,1337.0,9.97,1532.0,145.6,203.06
790840,"오, 친애하는 숙적",7491.2,9.96,6394.0,251.8,1968.13
817365,악당 가족이 독립을 반대한다,9904.6,9.96,8373.2,338.4,1515.2
803649,밤마다 남편이 바뀐다,15295.4,9.96,12964.0,514.6,3579.42
821589,순결을 그대에게,,,,,0.0
751992,오른눈이 보는 세계,17256.8,9.95,13962.8,1304.0,6477.15
805156,고양이 타타,14700.4,9.98,16905.0,803.2,2927.4
809590,이번 생도 잘 부탁해 - 기억의 한 조각,20208.2,9.97,19328.4,764.2,4652.0
693444,Doll 체인지,28726.6,9.96,39491.0,4056.0,10642.88
612769,언터처블,26574.8,9.95,54100.8,5695.0,14757.17
736744,캐슬,27523.6,9.94,26228.2,1330.0,2615.6
790404,쓰레기는 쓰레기통에!,21874.0,9.96,17021.0,772.4,8201.05
821095,함부로 친절하지 말라,5344.4,9.97,4929.8,255.0,1303.55
628998,데드데이즈(DEAD DAYS),18435.0,9.96,47997.8,10171.8,13102.47
597473,원 뿔러스 원,6822.2,9.93,62560.6,7026.4,12340.39
804418,세기말 데빌,3267.2,9.96,2535.2,194.0,432.41
657467,미스터 모,8386.4,9.97,25314.2,3495.4,10460.12
655749,닥터 프로스트 시즌 3~4,9781.4,9.97,22437.0,3809.0,7930.92
710758,문래빗,13697.2,9.92,19637.8,1718.0,4866.07
597480,스튜디오 짭쪼롬,8817.0,9.94,63512.0,6374.4,11064.24
739503,화이트 블러드,38204.2,9.97,31609.2,2154.2,9775.56
716164,로베스의 완전감각,9860.2,9.96,13549.6,1092.4,4054.83
793944,오늘의 비너스,7094.4,9.95,6298.2,309.8,2507.03
638994,Ho!,14390.0,9.97,35162.0,3767.75,7395.17
749055,각자의 디데이,25349.8,9.97,23534.0,1662.0,9051.89
739127,피라미드 게임,23520.8,9.91,17620.0,975.6,7222.71
794421,북부 공작님을 유혹하겠습니다,17480.8,9.95,13931.2,548.4,5329.09
746740,냄새를 보는 소녀,3227.6,9.95,3161.6,293.0,804.65
736641,라일락 200%,13791.4,9.91,13425.0,533.2,5925.99
818255,무원야담,2539.0,9.97,3554.4,106.6,384.73
828373,애늙은이,1499.2,9.96,1364.4,92.0,219.15
784107,달로 만든 아이,12481.6,9.97,10596.2,668.0,3198.78
738173,셈하는 사이,10883.8,9.94,9258.8,444.8,3859.88
507638,신령,8917.0,9.94,43827.2,6462.8,2499.27
797582,로잘린 보가트,10323.0,9.97,8879.8,352.8,2593.77
703851,꼬리,,,,,0.0
751168,상남자,11280.4,9.84,12694.0,607.0,1121.63
794105,주인님을 잡아먹는 방법,9054.4,9.92,7092.2,423.0,1988.64
792317,결혼공략,4325.0,9.96,3954.0,169.8,1244.33
667010,오민혁 단편선,15197.2,9.97,41519.6,3735.4,7603.99
668049,퍼스트 스위트,7875.2,9.95,17101.4,2013.4,7928.88
753853,"플레이, 플리",25607.8,9.95,17473.8,1034.6,9904.47
733274,만찢남녀,15487.0,9.96,13670.2,633.8,5418.73
665170,귀도호가록,9186.6,9.95,16053.4,2074.2,3647.45
621494,국립자유경제고등학교 세실고 2학기,6138.2,9.94,23191.8,4016.4,5294.6
814599,수인 보호소에서 남주를 입양해 버렸다,6812.0,9.93,6012.8,264.4,1358.22
733395,꼬맹이를 부탁해!,10763.0,9.93,10045.0,922.4,3039.72
626904,시타를 위하여,15173.75,9.94,49231.75,4279.75,9854.85
