title_id,episode,like_count,star,star_participants,comment_count,best_comment_likes
260510,1,416.0,9.68,3895.0,1288.0,"[350, 237, 208, 176, 153, 123, 100, 6]"
260510,2,397.0,9.81,4582.0,1636.0,"[573, 412, 299, 155, 145, 122, 109, 95, 58, 58, 31, 29, 17, 15, 15]"
260510,3,273.0,9.79,3427.0,831.0,"[162, 115, 72, 56, 47, 28, 23]"
260510,4,240.0,9.78,3127.0,936.0,"[114, 101, 64, 61, 38, 14]"
260510,5,226.0,9.78,2934.0,615.0,"[229, 202, 104, 83, 77, 59, 52, 44, 37, 26, 24, 18]"
226806,1,957.0,9.71,5571.0,1295.0,"[1037, 791, 613, 446, 331, 275, 268, 222, 200, 197, 140, 136, 105, 41, 24]"
226806,2,953.0,9.55,7458.0,4394.0,"[2577, 1267, 872, 822, 729, 542, 509, 492, 325, 309, 262, 194, 173, 112, 110]"
226806,3,753.0,9.62,5702.0,2086.0,"[1444, 1032, 984, 662, 548, 505, 380, 372, 317, 245, 227, 184, 121, 89, 77]"
226806,4,688.0,9.19,7123.0,4452.0,"[2857, 1661, 1505, 1063, 658, 540, 524, 521, 398, 371, 337, 255, 248, 234, 167]"
226806,5,666.0,9.29,5864.0,3034.0,"[1820, 1278, 933, 601, 585, 441, 369, 367, 312, 258, 253, 230, 155, 151, 136]"
761251,1,141.0,8.8,193.0,47.0,"[45, 39, 9, 6, 5]"
761251,2,111.0,9.31,130.0,16.0,"[38, 9, 5]"
761251,3,91.0,9.55,101.0,19.0,[23]
761251,4,103.0,9.56,109.0,29.0,"[91, 40, 28, 22, 11, 11, 7, 7, 6]"
761251,5,83.0,9.59,88.0,17.0,"[78, 15, 11, 9, 7, 6, 5]"
795926,1,405.0,9.7,501.0,68.0,"[57, 47, 32, 25, 17, 15, 15, 14, 14, 14, 13, 13, 11, 10, 8]"
795926,2,300.0,9.72,413.0,37.0,"[68, 51, 41, 22, 17, 14, 13, 13, 12, 11, 11, 11, 9, 9, 8]"
795926,3,283.0,9.72,372.0,27.0,"[58, 53, 42, 32, 23, 18, 15, 14, 14, 13, 11, 10, 8, 7, 6]"
795926,4,294.0,9.75,398.0,46.0,"[140, 127, 60, 36, 18, 17, 16, 14, 13, 13, 11, 11, 9, 9, 7]"
