title_id,title,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
772691,돌아온 여기사,8351.2,9.84,8132.0,419.8,1687.61
783814,엑스애쉬,7509.8,9.88,7571.8,926.0,1739.18
710390,비둘기가 물고 온 남자,8202.4,9.92,16943.2,673.0,5712.87
26460,N의등대-busted,1807.2,9.95,7444.8,2879.6,1116.44
807159,포스트 팬데믹,2132.2,9.89,2218.8,124.0,289.17
803458,비스트번,2181.6,9.72,1978.4,186.2,275.88
774504,기계증식증,3308.0,9.89,4029.2,339.6,872.39
820710,어느 날 남편이 생겼다,941.6,9.9,867.8,54.8,286.97
750570,김왕짱,2796.2,9.9,2634.6,224.4,495.61
797258,"너의 순정, 나의 순정",3055.6,9.75,2214.6,151.8,907.5
748417,진정친구,1445.4,9.68,1436.4,95.2,542.22
753223,악령주의보,4183.4,9.91,4166.8,351.0,1385.99
813451,내가 만든 이세계,1517.4,9.79,1700.0,147.4,603.56
205528,굿모닝 스페이스,1024.0,9.88,7738.2,3552.2,343.85
811255,멸망으로 시작하는! 근미래 생존법,1476.6,9.85,1639.6,123.4,439.94
653344,기로,5094.2,9.9,9867.0,1433.6,2135.65
661043,상중하,,,,,0.0
802986,잿더미 황후,3663.4,9.94,4011.2,254.0,1031.75
668101,결계녀,22123.0,9.75,34324.8,7420.2,11504.99
768467,푸른불꽃,2533.6,9.74,2371.0,255.0,686.92
570503,연애혁명,72476.5,9.92,143121.2,23262.8,33285.87
76759,패밀리맨,289.6,9.92,6294.8,3043.0,218.11
721455,뱀파이어의 꽃,12162.4,9.77,11420.0,676.2,2155.99
509093,아빠를 찾습니다,,,,,0.0
675392,첩보의 별,8150.6,9.78,16276.2,5387.4,5847.68
823069,중간계 사우나,468.0,9.87,421.8,60.2,65.74
716517,여기는 시에라리온,3169.2,9.86,5640.0,303.6,976.16
798277,아슈타르테,9663.4,9.92,7302.0,472.6,3426.35
821973,부부의 의무를 원하신다면,2253.4,9.9,2163.4,218.2,427.05
799775,라면 대통령,870.4,9.72,955.6,59.6,299.61
773473,전설의 화석,7180.8,9.81,6446.8,437.0,1952.76
730811,사소한 냐냐,7836.4,9.82,8839.4,602.8,1545.91
807829,평화식당,5161.8,9.9,4539.6,350.8,1172.0
805670,터치터치 그대,166.0,9.85,194.4,15.4,20.91
799557,이분의 여름,539.2,9.79,582.4,42.2,104.78
819054,시한부 황후의 나쁜 짓,842.8,9.8,1071.8,63.6,206.47
791632,낙원의 이론,2739.2,9.74,2056.2,195.2,437.26
808732,괴담게임,629.2,9.82,610.8,76.0,166.33
578108,강변살다,5674.6,9.89,37563.6,2869.6,5845.13
774039,나의 계절,3106.0,9.78,3217.0,317.2,720.1
774302,하루의 하루,5871.8,9.96,6831.4,352.4,1978.6
833877,푸른 여름 단편선,319.0,9.87,238.5,27.5,97.33
780857,우투리,557.0,9.77,828.8,55.4,57.56
706083,아버지의 컵,4873.8,9.87,12138.0,872.6,1773.6
810450,올빼미와 여름 하늘,2010.2,9.79,2398.4,126.2,419.94
792720,이건 그냥 연애 이야기,1821.2,9.78,2103.4,99.2,709.54
774087,도깨비 고개,1726.75,9.86,2153.25,149.25,508.24
689845,부산스런 웹툰,6448.2,9.9,9781.6,1935.0,3473.78
22037,체스아일,18.8,9.83,975.2,2509.4,52.67
797221,비밀친구,2890.2,9.86,2957.4,249.4,967.94
807858,은밀한 재택근무,879.0,9.87,1014.8,73.6,119.72
703848,파우스트 인 러브,16898.67,9.86,20834.0,2739.33,14620.53
823536,요리사가 되고 싶은 천마님,1266.6,9.81,1340.8,102.6,127.27
712548,성공의 비밀,9772.6,9.85,11865.4,1031.2,5178.12
400735,한섬세대,425.2,9.85,4276.4,884.8,142.87
797511,사주팔자,198.6,9.81,292.6,19.4,46.38
22043,에피소드메이비,25.2,9.89,828.8,744.0,64.64
