title_id,episode,like_count,star,star_participants,comment_count,best_comment_likes
626946,1,6362.0,9.92,21834.0,6676.0,"[15665, 11678, 6483, 4459, 1898, 604, 389, 65, 25, 18, 17, 10, 8, 7, 7]"
626946,2,4907.0,9.97,16651.0,2242.0,"[21509, 13968, 9386, 6733, 6129, 5213, 3679, 3312, 3224, 2674, 621, 423, 415, 8, 8]"
626946,3,3956.0,9.97,14349.0,1830.0,"[9918, 6987, 5001, 3729, 2268, 8, 7, 6]"
626946,4,3529.0,9.95,12961.0,2052.0,"[9954, 9248, 6454, 5553, 5106, 3937, 3790, 3027, 2814, 1990, 696, 539, 397, 24, 15]"
626946,5,3177.0,9.97,11809.0,1266.0,"[15024, 8869, 6087, 5916, 4353, 3698, 3358, 2443, 2187, 857, 614, 541, 434, 378, 91]"
774088,1,8041.0,9.83,8885.0,825.0,"[6561, 6139, 2848, 1742, 1142, 567, 504, 349, 290, 231, 209, 204, 198, 173, 159]"
774088,2,7016.0,9.92,6525.0,534.0,"[14296, 7873, 3493, 3172, 2005, 1194, 1157, 757, 617, 609, 386, 358, 297, 51, 32]"
774088,3,6178.0,9.94,5719.0,397.0,"[9494, 5377, 3108, 2709, 1495, 1024, 868, 431, 72, 32, 31, 29]"
774088,4,5687.0,9.95,5101.0,292.0,"[6196, 5483, 2803, 2103, 1231, 1075, 601, 407, 213]"
774088,5,5942.0,9.96,5845.0,459.0,"[12266, 6516, 4907, 3217, 2621, 1760, 1470, 1119, 892, 822, 540, 454, 398, 394]"
678494,1,27739.0,9.91,44214.0,9086.0,"[28918, 18013, 14842, 11592, 9271, 8928, 7579, 6748, 5411, 4435, 3946, 3619, 3503, 3013, 1863]"
678494,2,20743.0,9.94,57495.0,4347.0,"[12920, 10987, 8895, 7213, 4407, 3942, 3723, 3109, 2647, 2053, 1693, 1475, 1414, 1140, 873]"
678494,3,13731.0,9.96,22772.0,2284.0,"[8751, 8621, 5815, 5007, 4454, 4229, 3738, 2515, 2116, 1746, 1430, 1393, 1244, 806, 37]"
678494,4,10896.0,9.96,18450.0,1601.0,"[7138, 4571, 3731, 3483, 3069, 2653, 1715, 1575, 1384, 1227, 902, 808, 565, 475, 452]"
678494,5,9293.0,9.94,14809.0,1563.0,"[7518, 4880, 4223, 3393, 3102, 2101, 1541, 1443, 1353, 1140, 997, 910, 784, 617, 572]"
834571,1,3676.0,9.95,2291.0,467.0,"[7139, 2960, 1640, 591, 443, 239, 116, 69]"
834571,2,2256.0,9.96,1637.0,83.0,"[1236, 729, 610, 316, 276, 133, 117, 85]"
