title_id,episode,like_count,star,star_participants,comment_count,best_comment_likes
395444,1,2132.0,9.85,11428.0,2654.0,"[2264, 1093, 727, 579, 520, 478, 258, 236, 200, 172, 123, 115, 105, 43, 26]"
395444,2,2461.0,9.94,10822.0,2749.0,"[4236, 3204, 2300, 1975, 1353, 846, 654, 564, 480, 440, 389, 292, 280, 256, 218]"
395444,3,1170.0,9.64,5978.0,1069.0,"[1543, 1313, 879, 783, 663, 615, 460, 374, 253, 109, 77, 73, 63, 43, 7]"
395444,4,1519.0,9.87,7051.0,1073.0,"[2724, 1897, 1431, 1187, 856, 614, 515, 459, 425, 272, 221, 196, 180, 174, 174]"
395444,5,1503.0,9.91,7480.0,1521.0,"[1673, 1485, 892, 718, 579, 464, 363, 262, 253, 183, 173, 140, 121, 112, 52]"
809218,1,93.0,9.84,115.0,15.0,"[46, 24, 14, 9, 9, 9, 8, 7, 5]"
809218,2,61.0,9.84,87.0,7.0,"[22, 18]"
809218,3,46.0,9.79,84.0,7.0,"[24, 21, 12, 7]"
809218,4,56.0,9.78,83.0,12.0,"[41, 24, 12, 8, 8, 7]"
809218,5,49.0,9.88,75.0,9.0,"[24, 11, 7, 6]"
711422,1,46645.0,9.91,33102.0,10130.0,"[33379, 18849, 18429, 15920, 14284, 13985, 12397, 12048, 11483, 10540, 10138, 9613, 9140, 8826, 8559]"
711422,2,31883.0,9.94,23045.0,4258.0,"[14064, 8962, 8085, 7993, 7522, 6837, 6828, 6152, 6084, 5905, 5323, 5118, 5108, 4945, 4932]"
711422,3,32104.0,9.95,19361.0,5822.0,"[15968, 15157, 12649, 10103, 8853, 8842, 8494, 8110, 8064, 7541, 7517, 7197, 6663, 6612, 6558]"
711422,4,27955.0,9.94,18864.0,4380.0,"[13375, 11712, 9923, 9638, 9013, 8617, 8580, 8268, 7638, 6793, 6730, 6633, 5611, 5492, 5477]"
711422,5,28317.0,9.95,18136.0,3886.0,"[14009, 11694, 10411, 9650, 9592, 8595, 7522, 7154, 6570, 6533, 6532, 6338, 6047, 5925, 5496]"
804329,1,16299.0,9.95,14022.0,1169.0,"[19504, 17191, 10975, 9446, 7236, 4150, 2353, 1958, 1448, 1053, 982, 825, 702, 604, 136]"
804329,2,13652.0,9.97,12300.0,507.0,"[17939, 7844, 5086, 4880, 3010, 2479, 1601, 1021]"
804329,3,12962.0,9.93,11451.0,590.0,"[16059, 12229, 7994, 5331, 3754, 3113, 2907, 1873, 1751, 1533, 802, 573, 541, 243, 130]"
804329,4,13033.0,9.96,11536.0,925.0,"[28059, 19321, 12478, 9241, 5592, 3611, 2823, 2706, 2053, 1859, 1007, 908, 773, 686, 594]"
804329,5,12611.0,9.97,11544.0,414.0,"[11705, 10795, 8630, 4406, 2493, 1766, 1480, 1142, 868, 754, 682, 467, 368, 285, 209]"
770873,1,4049.0,9.72,4714.0,709.0,"[3608, 2629, 1749, 1103, 487, 410, 359, 348, 331, 232, 226, 203, 191]"
770873,2,2984.0,9.76,3195.0,202.0,"[1703, 970, 682, 557, 360, 211, 76, 75, 8]"
770873,3,2690.0,9.86,2724.0,157.0,"[2292, 1573, 665, 598, 519, 382, 242, 188, 171, 95]"
770873,4,2644.0,9.94,2805.0,195.0,"[2068, 1574, 617, 523, 423, 357, 54]"
770873,5,2509.0,9.88,2710.0,138.0,"[1730, 930, 697, 566, 342, 253, 205, 141, 5, 5]"
814742,1,4694.0,9.86,4783.0,487.0,"[1444, 1278, 629, 567, 325, 229, 207, 121, 110, 106, 84, 84, 80, 72, 19]"
814742,2,4315.0,9.85,4152.0,277.0,"[1247, 796, 595, 409, 233, 203, 130, 93, 74, 72, 72, 72, 67, 59, 58]"
814742,3,3932.0,9.83,3603.0,167.0,"[1016, 563, 389, 268, 167, 161, 144, 79, 61, 57, 52, 51, 46, 45, 34]"
814742,4,3305.0,9.68,3327.0,220.0,"[1097, 835, 772, 481, 322, 311, 132, 82, 67, 59, 57, 50, 44, 31]"
814742,5,3275.0,9.61,3408.0,174.0,"[791, 768, 652, 607, 282, 142, 98, 84, 74, 63, 55, 52, 49, 48, 45]"
796066,1,744.0,9.7,584.0,58.0,"[423, 229, 111, 75, 69, 56, 46, 29, 28, 15]"
796066,2,660.0,9.73,515.0,38.0,"[423, 213, 183, 82, 70, 55, 28, 25]"
796066,3,645.0,9.75,522.0,34.0,"[384, 225, 112, 78, 30, 27, 20]"
796066,4,623.0,9.88,467.0,52.0,"[216, 177, 163, 86, 50, 20]"
796066,5,443.0,9.94,369.0,32.0,"[360, 173, 108, 77, 57, 7, 6]"
646359,1,10533.0,9.71,24795.0,8528.0,"[35174, 33606, 30763, 24677, 19323, 12341, 12183, 11450, 9099, 6324, 5254, 4182, 3555, 3443, 24]"
646359,2,8714.0,9.61,20983.0,4922.0,"[27430, 26362, 20018, 12471, 10616, 9664, 7715, 5725, 5352, 3501, 1752, 1247, 992, 9, 9]"
646359,3,7291.0,9.58,18291.0,4998.0,"[23037, 19618, 17368, 13760, 8865, 7108, 4902, 4792, 4220, 2505, 2283, 1152, 986, 924, 606]"
646359,4,6584.0,9.68,16701.0,3949.0,"[20463, 19891, 15995, 11175, 9418, 9084, 5089, 5033, 5012, 4833, 4579, 4310, 2310, 2251, 316]"
646359,5,6065.0,9.73,15671.0,3148.0,"[18227, 17468, 15018, 12638, 8266, 7704, 6173, 4050, 3815, 3692, 3047, 2602, 2518, 2324, 1726]"
828962,1,37.0,9.59,41.0,10.0,"[50, 20]"
828962,2,25.0,9.77,39.0,3.0,[7]
828962,3,34.0,9.23,47.0,3.0,[5]
828962,4,24.0,9.75,36.0,3.0,"[0, 4, 0]"
828962,5,26.0,9.71,35.0,1.0,[0]
801249,1,78.0,9.58,86.0,56.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
801249,2,62.0,9.58,85.0,47.0,"[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
801249,3,53.0,9.72,82.0,48.0,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
801249,4,51.0,9.65,78.0,39.0,[7]
801249,5,51.0,9.72,78.0,25.0,"[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
648419,1,53598.0,9.54,77689.0,25873.0,"[93576, 84940, 36920, 34275, 29981, 17915, 16704, 16064, 15109, 13851, 11866, 8276, 7070, 1169, 756]"
648419,2,53294.0,9.55,68969.0,28840.0,"[89504, 67144, 50487, 37890, 31803, 29710, 27344, 14859, 8681, 1757, 1508, 1479, 983, 167, 128]"
