title_id,episode,like_count,star,star_participants,comment_count,best_comment_likes
259893,1,1027.0,9.21,15553.0,6714.0,"[771, 591, 458, 317, 229, 77, 47, 39, 32, 25, 23, 22, 5]"
259893,2,893.0,9.14,15806.0,4699.0,"[749, 406, 305, 214, 136, 121, 118, 86, 75, 71, 37]"
259893,3,769.0,9.14,14622.0,4118.0,"[411, 327, 193, 139, 87, 84, 79, 66, 58, 49, 34]"
259893,4,648.0,8.88,14346.0,6720.0,"[243, 115, 94, 73, 57]"
259893,5,621.0,9.21,11838.0,2723.0,"[232, 140, 65, 25, 7]"
789427,1,115.0,9.3,221.0,23.0,"[17, 14, 14, 8]"
789427,2,88.0,9.52,142.0,3.0,[12]
789427,3,84.0,9.53,136.0,7.0,"[11, 7, 5]"
789427,4,76.0,9.55,121.0,8.0,[6]
789427,5,77.0,9.78,124.0,8.0,"[11, 7]"
788967,1,900.0,9.0,783.0,151.0,"[1762, 1409, 828, 616, 478, 358, 309, 263, 100, 81, 73, 54, 40, 37, 25]"
788967,2,636.0,8.75,695.0,131.0,"[1673, 703, 524, 451, 308, 260, 194, 151, 82, 62, 37, 32, 27, 19, 13]"
788967,3,612.0,9.64,673.0,60.0,"[482, 445, 195, 127, 54, 38, 26, 24, 24, 13, 9, 9, 8, 8, 6]"
788967,4,644.0,9.6,564.0,61.0,"[272, 197, 140, 134, 123, 120, 110, 54, 37, 32, 21, 21, 6, 6, 6]"
788967,5,433.0,9.84,390.0,71.0,"[547, 247, 134, 115, 70, 21, 16, 16, 13, 10, 7, 7]"
811716,1,2822.0,8.6,3374.0,425.0,"[7741, 7485, 4237, 3580, 2045, 1616, 1184, 1012, 748, 697, 639, 556, 370, 255, 135]"
811716,2,2493.0,9.11,2748.0,221.0,"[8695, 3676, 2455, 1656, 979, 744, 304, 266, 245, 174, 139, 136, 123, 101, 80]"
811716,3,2272.0,9.26,2448.0,126.0,"[5037, 4358, 1478, 1089, 676, 492, 373, 338, 100, 97, 63, 52, 22, 9]"
811716,4,2187.0,9.44,2332.0,110.0,"[3283, 2781, 1811, 1211, 968, 774, 440, 360, 289, 125, 87, 12, 12, 10, 8]"
811716,5,2579.0,9.84,2778.0,79.0,"[4384, 2976, 2128, 1324, 1082, 700, 447, 253, 229, 95, 52]"
821814,1,7874.0,9.89,6439.0,409.0,"[6789, 5812, 4647, 1563, 1213, 1034, 628, 375, 357, 284, 273, 237, 192, 183, 172]"
821814,2,6315.0,9.93,5333.0,189.0,"[7230, 4024, 3495, 1458, 1169, 680, 528, 376, 343, 243, 235, 216, 208, 186, 159]"
