title_id,episode,like_count,star,star_participants,comment_count,best_comment_likes
774451,1,7024.0,9.77,7939.0,419.0,"[6127, 3770, 3467, 1782, 1263, 1055, 743, 466, 303, 238, 222, 158, 131, 13, 5]"
774451,2,7054.0,9.55,10736.0,885.0,"[8782, 6738, 4092, 2954, 2303, 1910, 1332, 1211, 806, 787, 565, 281, 253, 108, 5]"
774451,3,5459.0,9.87,5825.0,423.0,"[6423, 2859, 2363, 1699, 1586, 1024, 609, 424, 282, 161, 141, 127, 71]"
774451,4,4672.0,9.88,5099.0,287.0,"[4118, 1774, 1590, 1120, 739, 522, 380, 234, 203, 174, 107, 103, 68, 53, 15]"
774451,5,4370.0,9.88,4576.0,305.0,"[5270, 3930, 2257, 1696, 1095, 839, 444, 384, 280, 122, 10]"
770590,1,5515.0,9.69,5798.0,639.0,"[10506, 4059, 2111, 1866, 1606, 1007, 862, 491, 431, 415, 388, 375, 20, 15, 15]"
770590,2,3965.0,9.84,3536.0,259.0,"[6109, 4519, 3760, 2710, 2311, 1087, 866, 384, 254, 217, 170, 124, 102]"
770590,3,3352.0,9.92,2869.0,159.0,"[6053, 3418, 2624, 2256, 1781, 762, 664, 392, 384, 347, 288, 214]"
770590,4,2754.0,9.82,2323.0,129.0,"[3660, 2057, 923, 877, 705, 447, 375, 227, 181, 155, 145, 142, 25, 15]"
770590,5,2366.0,9.85,2121.0,155.0,"[3294, 2492, 1400, 1203, 903, 521, 355, 272, 225, 59]"
801555,1,5385.0,9.9,6823.0,648.0,"[6930, 1889, 1433, 779, 525, 346, 277, 119, 80, 67, 54, 6, 6]"
801555,2,4027.0,9.95,4653.0,348.0,"[6588, 4115, 2850, 2365, 1133, 794, 692, 438, 318, 299, 257, 228, 95, 51, 24]"
801555,3,3843.0,9.95,4420.0,275.0,"[3881, 2706, 1619, 1314, 717, 299, 203, 137, 63, 56, 36, 34, 26, 23, 5]"
801555,4,3593.0,9.92,4115.0,304.0,"[6216, 4449, 2501, 1458, 815, 787, 466, 187, 137, 117, 81, 61, 30, 25, 6]"
