title_id,title,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
733077,깁스맨,4719.4,9.86,4961.0,466.2,1123.11
784852,어메이징 스파이더맨,1836.2,9.86,1287.0,161.8,583.88
814407,프린키피아,1937.6,9.9,1934.8,136.6,340.3
771990,"소년, 남자의 이름으로",315.6,9.75,411.0,18.2,112.56
701700,트롤트랩,16265.4,9.95,19165.4,2827.8,6146.05
831770,2024 루키 단편선,7449.6,9.77,6525.6,448.8,1678.92
804163,호랑이 새끼,,,,,0.0
654333,이별만화 완성도,6934.0,9.51,18431.2,2559.2,6401.99
170791,"나의 꿈, 나의 일",1.4,9.86,958.8,887.4,7.15
789645,시간과 사연,941.8,9.88,822.6,45.2,239.8
830015,어느날 갑자기 가슴이 커짐,10252.2,9.65,6292.4,1211.6,2395.91
277235,리턴,254.8,9.84,2659.0,1194.0,164.31
740132,중독연구소,4631.4,9.88,4682.2,391.6,1038.09
807308,나를 낳아줘,4195.2,9.55,4013.2,393.0,1205.59
733137,어쩐지 수상하더라,8659.6,9.63,10286.4,828.8,4575.29
509094,조선좀비실록,3835.0,9.73,32142.0,10026.0,1207.09
780986,용감한 시민,885.2,9.86,961.0,58.6,151.04
787722,안드로이드는 혈이 없어,145.8,9.65,174.2,21.4,37.05
759091,봉이 김선달,341.4,9.73,429.6,47.8,53.43
821091,오빠 그건 오해야,649.6,9.75,621.8,38.4,123.16
780409,보스의 노골적 취향,5254.6,9.63,4298.6,258.0,1311.99
58219,연옥님이 보고계셔,350.4,9.87,2342.8,355.2,50.38
780137,"오직, 밝은 미래",1684.8,9.82,1895.0,201.6,392.88
784990,해피니스,1584.8,9.87,1350.6,100.0,312.53
750571,개미잡이,332.8,9.7,504.2,51.8,58.6
779627,보통아이,1784.2,9.86,1991.6,251.0,513.63
669357,해피,4733.0,9.87,9982.6,904.6,1518.39
812152,사랑니S,,,,,0.0
733458,3cm 헌터,10145.8,9.88,9276.0,970.0,3848.89
774762,DEY 호러채널(일반판),,,,,0.0
769801,사막에 핀 달,2108.6,9.62,2770.4,218.0,574.1
786973,DARK MOON: 달의 제단,11937.6,9.7,7856.8,1332.0,2800.32
360841,상처공감 다이어리,27.4,9.76,3956.4,1490.8,19.57
613076,퇴마전쟁,7026.4,9.94,20372.2,3967.6,4591.03
651665,야부리맨,18333.2,9.77,12962.8,5052.8,7126.35
