title_id,title,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
786882,좋아해 아니 싫어해,2444.4,9.5,2371.8,296.2,778.81
792950,30일 후,313.4,9.54,486.8,42.8,52.68
769685,"꿀잠, 재워주세요!",154.0,8.97,294.6,18.6,56.57
609477,소년들은 무엇을 하고 있을까,11953.6,9.6,81469.2,24266.0,27391.29
387491,다함께 잘사는 세계,0.8,9.46,791.0,295.0,0.32
773645,로맨스는 살벌하게,139.4,9.25,296.6,20.8,40.12
794224,밀실 마피아 게임,1275.8,9.35,1540.8,127.0,250.13
675556,2016 학교 다녀오겠습니다,26067.4,9.18,21197.6,13849.4,13798.25
815272,뿌리를 찾아서,195.6,9.57,295.4,32.6,50.79
802037,미래 남편 누구게?,70.4,9.08,60.0,60.4,11.33
710766,불괴,7053.0,9.65,15862.67,1139.67,1506.4
832679,나이스 ThinQ Time,850.5,9.42,1535.0,99.75,285.69
759940,만렙돌파,16732.2,8.53,19144.4,3287.6,5679.86
22027,삼국전투기,2538.2,9.59,4529.2,1014.4,416.96
784827,무능빌런,1117.6,9.8,890.0,96.2,326.29
780266,당신의 여자가 되고 싶어요,3322.0,8.39,3411.6,404.8,1383.52
791058,아마도,1461.8,9.86,1774.0,146.4,242.72
557676,다이스(DICE),14999.8,9.58,89351.0,16707.4,10901.71
787729,나쁜 마법사의 꿈,5057.0,8.49,9389.2,676.8,1929.7
753858,싸이코 리벤지,15529.4,9.58,12420.0,1592.4,3904.59
817583,2회차 최강 고교생,447.0,9.57,473.4,40.2,78.91
720716,에이틴,15116.2,9.24,12531.6,1460.8,6114.27
794671,마녀이야기,1214.4,9.72,1375.0,103.0,460.78
69113,고(故)노무현 前대통령 추모웹툰,135.4,9.41,2937.6,2813.8,169.16
471284,후유증,3287.67,9.78,25586.0,5852.33,1695.93
783054,쇼미더럭키짱!,13264.0,8.05,22885.2,1961.6,4615.61
131796,스마트리포트,4.6,9.22,1396.8,2217.4,2.19
784825,내 최애가 위험해,1974.0,9.6,1198.4,115.8,467.19
800360,나쁜 피,456.4,9.29,582.0,53.8,103.89
822577,소희 훔치기,3504.6,9.16,2603.0,337.8,1103.07
